id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_address,pickup_street,pickup_borough,dropoff_address,dropoff_street,dropoff_borough,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
id1343507,1,2016-03-11 11:48:06,2016-03-11 12:10:31,1,-73.98257446289062,40.77996444702149,-73.94593811035155,40.78141784667969,N,1345,"The Ansonia, 2109, Broadway, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States",Broadway,Manhattan,"1st Avenue & East 93rd Street, 1st Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10128, United States",1st Avenue,Manhattan,68,48,58.0,0.06,0.0,0
id2418612,1,2016-03-11 00:45:47,2016-03-11 00:59:33,1,-73.99144744873048,40.72760772705078,-73.9617462158203,40.713844299316406,N,826,"2 Cooper, 2, Cooper Square, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10003, United States",Cooper Square,Manhattan,"308, Bedford Avenue, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States",Bedford Avenue,Brooklyn,68,48,58.0,0.06,0.0,0
id0857912,2,2016-02-21 17:59:33,2016-02-21 18:26:48,2,-73.997314453125,40.721458435058594,-73.94802856445312,40.774917602539055,N,1635,"87-97, Kenmare Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States",Kenmare Street,Manhattan,"1597, York Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",York Avenue,Manhattan,55,44,49.5,0.03,0.0,0
id2930166,2,2016-02-21 01:56:14,2016-02-22 01:52:18,1,-74.00287628173827,40.734130859375,-73.9553985595703,40.76750183105469,N,86164,"229, West 4th Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States",West 4th Street,Manhattan,"420, East 72nd Street, Lenox Hill, Manhattan, New York County, City of New York, New York, 10021, United States",East 72nd Street,Manhattan,55,44,49.5,0.03,0.0,0
id0196538,1,2016-02-21 14:10:51,2016-02-21 14:14:08,2,-73.99736785888672,40.68405532836913,-73.99066162109375,40.68043899536133,N,197,"376, Clinton Street, Cobble Hill, Brooklyn, Kings County, City of New York, New York, 11231, United States",Clinton Street,Brooklyn,"445, Union Street, Gowanus, Brooklyn, Kings County, City of New York, New York, 11231, United States",Union Street,Brooklyn,55,44,49.5,0.03,0.0,0
id2503021,2,2016-02-21 00:19:23,2016-02-21 00:37:41,1,-74.0041275024414,40.74217987060547,-73.96283721923827,40.76662826538085,N,1098,"New York Service Center Manhattan Plaza, West 16th Street, Chelsea District, Manhattan, New York County, City of New York, New York, 10011, United States",West 16th Street,Manhattan,"1153, 3rd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",3rd Avenue,Manhattan,55,44,49.5,0.03,0.0,0
id3659758,2,2016-02-21 08:52:52,2016-02-21 09:03:31,1,-73.95458984375,40.7778205871582,-73.97786712646483,40.75794982910156,N,639,"1499, 3rd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",3rd Avenue,Manhattan,"Lacoste, West 49th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",West 49th Street,Manhattan,55,44,49.5,0.03,0.0,0
id2302938,2,2016-02-21 14:14:04,2016-02-21 14:19:30,1,-73.97837829589844,40.78563690185547,-73.96743774414062,40.78948211669922,N,326,"Laytner's Linnens and Home, 2276, Broadway, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10024, United States",Broadway,Manhattan,"7, West 92nd Street, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",West 92nd Street,Manhattan,55,44,49.5,0.03,0.0,0
id3744273,2,2016-01-05 09:44:31,2016-01-05 10:03:32,6,-73.961669921875,40.75971984863281,-73.95677947998048,40.780628204345696,N,1141,"Bridgemarket Building, East 59th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10022, United States",East 59th Street,Manhattan,"1049, Park Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",Park Avenue,Manhattan,29,11,20.0,0.00,0.0,0
id1431716,1,2016-01-05 18:39:10,2016-01-05 18:50:22,1,-73.95994567871094,40.77349472045898,-73.96501922607422,40.75800323486328,N,672,"1095, Lexington Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10021, United States",Lexington Avenue,Manhattan,"The Bristol, 300, East 56th Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States",East 56th Street,Manhattan,29,11,20.0,0.00,0.0,0
id2440127,2,2016-01-05 07:21:40,2016-01-05 07:27:34,2,-73.97312927246094,40.79307556152344,-73.96154022216798,40.796180725097656,N,354,"Broadway & West 94th Street, Broadway, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",Broadway,Manhattan,"103th Street, Central Park West, Bloomingdale, Upper West Side, Manhattan, New York County, City of New York, New York, 10025, United States",Central Park West,Manhattan,29,11,20.0,0.00,0.0,0
id0982066,1,2016-01-05 06:52:33,2016-01-05 06:57:43,1,-73.96045684814453,40.76137161254883,-73.97896575927734,40.74523162841797,N,310,"400, East 62nd Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",East 62nd Street,Manhattan,"167, East 33rd Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",East 33rd Street,Manhattan,29,11,20.0,0.00,0.0,0
id2798620,2,2016-01-05 17:33:37,2016-01-05 17:51:08,2,-73.94609832763672,40.77312850952149,-73.97386169433594,40.76436996459961,N,1051,"80, East End Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",East End Avenue,Manhattan,"Citi Bike - Grand Army Plaza & Central Park South, Grand Army Plaza, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10153, United States",Grand Army Plaza,Manhattan,29,11,20.0,0.00,0.0,0
id0232939,1,2016-02-17 06:42:23,2016-02-17 06:56:31,1,-74.01712036132812,40.70846939086913,-73.9881820678711,40.740631103515625,N,848,"West Thames Street & South End Avenue, West Thames Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10280, United States",West Thames Street,Manhattan,"One Madison, Madison Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10010, United States",Madison Avenue,Manhattan,39,35,37.0,0.00,0.0,0
id3767942,1,2016-02-17 01:20:22,2016-02-17 01:29:08,1,-73.98195648193358,40.74650192260742,-73.95077514648438,40.770904541015625,N,526,"53, East 33rd Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10016, United States",East 33rd Street,Manhattan,"1481, York Avenue, Upper East Side, Manhattan, New York County, City of New York, New York, 10075, United States",York Avenue,Manhattan,39,35,37.0,0.00,0.0,0
id3028295,2,2016-02-17 13:35:27,2016-02-17 14:02:14,2,-73.98991394042969,40.74340057373047,-74.01144409179686,40.70853805541992,N,1607,"St. Sava Serbian Orthodox Church Parish House, 13, West 25th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10010, United States",West 25th Street,Manhattan,"One Trinity Centre, Thames Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10006, United States",Thames Street,Manhattan,39,35,37.0,0.00,0.0,0
id2676928,1,2016-02-17 05:25:18,2016-02-17 05:28:00,1,-73.98125457763672,40.762786865234375,-73.98948669433594,40.75664138793945,N,162,"Tower 53, West 53rd Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",West 53rd Street,Manhattan,"11 Times Square, 11, 8th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10036, United States",8th Avenue,Manhattan,39,35,37.0,0.00,0.0,0
id0294670,1,2016-02-17 01:17:45,2016-02-17 01:45:18,1,-74.00591278076173,40.73995971679688,-73.91594696044923,40.7765007019043,N,1653,"Gansevoort Plaza, Meatpacking District, Manhattan, New York County, City of New York, New York, United States",Gansevoort Plaza,Manhattan,"23-05, 26th Street, Queens, City of New York, New York, 11105, United States",26th Street,Queens,39,35,37.0,0.00,0.0,0
id0984547,1,2016-02-17 11:02:38,2016-02-17 11:06:21,1,-73.94573211669923,40.75787353515625,-73.94078063964844,40.762996673583984,N,223,"38-51, Vernon Boulevard, Queensbridge, Queens, City of New York, New York, 11101, United States",Vernon Boulevard,Queens,"35-10, 9th Street, Queensbridge, Queens County, City of New York, New York, 11106, United States",9th Street,Queens County,39,35,37.0,0.00,0.0,0
id1777704,1,2016-02-17 20:40:43,2016-02-17 20:58:21,2,-73.98854064941406,40.736907958984375,-73.9544448852539,40.770523071289055,N,1058,"CVS Pharmacy, 215, Park Avenue South, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10003, United States",Park Avenue South,Manhattan,"363, East 76th Street, Lenox Hill, Manhattan, New York County, City of New York, New York, 10021, United States",East 76th Street,Manhattan,39,35,37.0,0.00,0.0,0
id1726401,2,2016-02-17 23:52:08,2016-02-18 00:03:21,1,-73.96585845947266,40.76194381713867,-73.97074127197266,40.7960319519043,N,673,"202, East 60th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10022, United States",East 60th Street,Manhattan,"2602, Broadway, Bloomingdale, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",Broadway,Manhattan,39,35,37.0,0.00,0.0,0
id0778435,2,2016-02-17 16:24:50,2016-02-17 16:35:08,3,-73.97791290283203,40.76232528686523,-73.9657974243164,40.76206588745117,N,618,"MGM Building, 1350, 6th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",6th Avenue,Manhattan,"201, East 60th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",East 60th Street,Manhattan,39,35,37.0,0.00,0.0,0
id2461464,2,2016-02-17 06:20:43,2016-02-17 06:30:25,1,-73.98921966552734,40.75217819213867,-73.96314239501955,40.76645278930664,N,582,"155, West 36th Street, Garment District, Manhattan, New York County, City of New York, New York, 10018, United States",West 36th Street,Manhattan,"Starbucks, 1128, 3rd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",3rd Avenue,Manhattan,39,35,37.0,0.00,0.0,0
id2361732,1,2016-02-17 15:47:29,2016-02-17 16:05:35,1,-74.00273895263672,40.7249412536621,-74.01417541503906,40.71392440795898,N,1086,"186, Spring Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States",Spring Street,Manhattan,"West Street, Battery Park City, Manhattan, New York County, City of New York, New York, 10281, United States",West Street,Manhattan,39,35,37.0,0.00,0.0,0
id3831743,1,2016-02-17 16:43:16,2016-02-17 16:55:32,4,-73.97776794433594,40.75768280029297,-73.99236297607422,40.749488830566406,N,736,"605, 5th Avenue, Midtown East, Manhattan, New York County, City of New York, New York, 10017, United States",5th Avenue,Manhattan,"PENN 2, 2, Pennsylvania Plaza, Chelsea District, Manhattan, New York County, City of New York, New York, 10121, United States",Pennsylvania Plaza,Manhattan,39,35,37.0,0.00,0.0,0
id1918069,2,2016-02-14 18:31:42,2016-02-14 18:55:57,2,-73.99361419677734,40.75188446044922,-73.99542236328125,40.72386169433594,N,1455,"34th Street - Penn Station, West 33rd Street, Chelsea District, Manhattan, New York County, City of New York, New York, 10001, United States",West 33rd Street,Manhattan,"Saint Patrick's Old Cathedral, Mulberry Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States",Mulberry Street,Manhattan,15,-1,7.0,0.00,0.0,0
id2630105,2,2016-02-14 11:59:23,2016-02-14 12:06:28,1,-73.98361206054686,40.721771240234375,-73.98332214355469,40.73719024658203,N,425,"9, Avenue B, Alphabet City, East Village, Manhattan, New York County, City of New York, New York, 10009, United States",Avenue B,Manhattan,"214, East 21st Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10010, United States",East 21st Street,Manhattan,15,-1,7.0,0.00,0.0,0
id0303214,1,2016-02-14 01:03:01,2016-02-14 01:11:41,2,-74.00482940673827,40.72859954833984,-74.0066909790039,40.74052810668945,N,520,"Arbor Bistro, 226, West Houston Street, University Village, West Village, Manhattan, New York County, City of New York, New York, 10014, United States",West Houston Street,Manhattan,"414, West 13th Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States",West 13th Street,Manhattan,15,-1,7.0,0.00,0.0,0
id0187455,2,2016-02-14 05:13:22,2016-02-14 05:16:30,1,-73.9678192138672,40.75596618652344,-73.97644805908203,40.74921798706055,N,188,"977, 2nd Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States",2nd Avenue,Manhattan,"Murray Hill East Suites, 149, East 39th Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",East 39th Street,Manhattan,15,-1,7.0,0.00,0.0,0
id0751543,1,2016-02-14 12:20:54,2016-02-14 12:32:05,3,-73.97782897949219,40.78682708740234,-73.9488296508789,40.78288650512695,N,671,"Broadway & West 84 Street, Broadway, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10024, United States",Broadway,Manhattan,"Astor Terrace Parking Garage, East 94th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10128, United States",East 94th Street,Manhattan,15,-1,7.0,0.00,0.0,0
id2429028,1,2016-04-20 20:30:14,2016-04-20 20:36:51,1,-73.96508026123048,40.75891494750977,-73.976806640625,40.76410675048828,N,397,"300, East 57th Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States",East 57th Street,Manhattan,"58, West 57th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",West 57th Street,Manhattan,69,49,59.0,0.00,0.0,0
id1216289,2,2016-04-20 14:29:28,2016-04-20 14:35:14,5,-73.99295806884766,40.737396240234375,-74.00001525878906,40.73404693603516,N,346,"Bandier, West 16th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10011, United States",West 16th Street,Manhattan,"9th Street, West 9th Street, Washington Square Village, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10011, United States",West 9th Street,Manhattan,69,49,59.0,0.00,0.0,0
id0809538,1,2016-04-20 19:41:05,2016-04-20 19:47:19,1,-73.98247528076173,40.77306365966797,-73.9881591796875,40.76318740844727,N,374,"Lincoln Center for the Performing Arts, 10, West 61st Street, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10023, United States",West 61st Street,Manhattan,"351, West 50th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10019, United States",West 50th Street,Manhattan,69,49,59.0,0.00,0.0,0
id0006880,2,2016-04-20 19:30:40,2016-04-20 19:52:53,1,-73.88530731201173,40.773040771484375,-73.98928070068358,40.73167037963867,N,1333,"Marine Terminal Road, Queens County, City of New York, New York, 11371, United States",Marine Terminal Road,Queens County,"Webster Hall, 125, East 11th Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States",East 11th Street,Manhattan,69,49,59.0,0.00,0.0,0
id2796730,1,2016-04-20 09:27:02,2016-04-20 09:35:30,1,-73.9796142578125,40.749656677246094,-73.9735336303711,40.75257110595703,N,508,"43, East 38th Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",East 38th Street,Manhattan,"710, 3rd Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10017, United States",3rd Avenue,Manhattan,69,49,59.0,0.00,0.0,0
id3265913,1,2016-04-20 07:59:08,2016-04-20 08:18:24,1,-74.0067367553711,40.74402618408203,-73.9758071899414,40.75761032104492,N,1156,"458, West 17th Street, Chelsea District, Manhattan, New York County, City of New York, New York, 10011, United States",West 17th Street,Manhattan,"Newsweek Building, Madison Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10037, United States",Madison Avenue,Manhattan,69,49,59.0,0.00,0.0,0
id1824982,2,2016-04-20 20:01:20,2016-04-20 20:18:58,5,-73.97012329101562,40.76469421386719,-73.95741271972656,40.764812469482415,N,1058,"25 1/2, East 61st Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",East 61st Street,Manhattan,"Memorial Sloan Kettering Cancer Center, 1275, York Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",York Avenue,Manhattan,69,49,59.0,0.00,0.0,0
id1663798,2,2016-06-19 16:48:14,2016-06-19 17:06:35,1,-73.96389007568358,40.76543426513672,-73.87242889404298,40.77420043945313,N,1101,"1110, 3rd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",3rd Avenue,Manhattan,"LaGuardia Airport, 14th Road, Queens, City of New York, New York, 11371, United States",14th Road,Queens,88,66,77.0,0.00,0.0,0
id2754421,2,2016-06-19 22:23:12,2016-06-19 22:33:09,5,-73.99398040771484,40.75119018554688,-73.97457885742188,40.749778747558594,N,597,"Pennsylvania Station, Pennsylvania Plaza, Chelsea District, Manhattan, New York County, City of New York, New York, 10119, United States",Pennsylvania Plaza,Manhattan,"633 3rd Avenue, 3rd Avenue, Tunnel Exit Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10174, United States",Tunnel Exit Street,Manhattan,88,66,77.0,0.00,0.0,0
id0824967,2,2016-06-19 00:57:59,2016-06-19 01:04:19,1,-74.01606750488281,40.71493148803711,-74.00505828857422,40.72151947021485,N,380,"North End Avenue, Battery Park City, Manhattan, New York County, City of New York, New York, 10282, United States",North End Avenue,Manhattan,"Canal Street, Laight Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10005, United States",Laight Street,Manhattan,88,66,77.0,0.00,0.0,0
id0280358,1,2016-06-19 14:09:53,2016-06-19 14:21:43,1,-73.98613739013672,40.77760696411133,-73.98301696777342,40.75928115844727,N,710,"185, West End Avenue, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10023, United States",West End Avenue,Manhattan,"James Earl Jones Theatre, 138, West 48th Street, Times Square, Manhattan, New York County, City of New York, New York, 10036, United States",West 48th Street,Manhattan,88,66,77.0,0.00,0.0,0
id2436943,2,2016-03-28 19:17:03,2016-03-28 19:48:29,2,-73.87288665771484,40.774280548095696,-73.97901916503906,40.76187896728516,N,1886,"LaGuardia Airport, 14th Road, Queens, City of New York, New York, 11371, United States",14th Road,Queens,"Hilton New York Midtown, 1335, 6th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",6th Avenue,Manhattan,62,42,52.0,0.38,0.0,0
id0706828,2,2016-03-28 15:37:34,2016-03-28 15:57:16,1,-73.98931121826173,40.760398864746094,-73.95411682128906,40.77893829345703,N,1182,"336, West 46th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10036, United States",West 46th Street,Manhattan,"Papaya King, 179, East 86th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",East 86th Street,Manhattan,62,42,52.0,0.38,0.0,0
id0708952,1,2016-03-28 12:38:13,2016-03-28 12:43:24,1,-73.98261260986328,40.757057189941406,-73.97740936279298,40.764251708984375,N,311,"Americas Tower, 1177, 6th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",6th Avenue,Manhattan,"6th Avenue & 57th Street at Southwest Corner, 6th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",6th Avenue,Manhattan,62,42,52.0,0.38,0.0,0
id2933909,1,2016-04-10 22:01:41,2016-04-10 22:25:30,1,-73.98782348632812,40.74098205566406,-73.99915313720702,40.68645095825195,N,1429,"East 23rd Street, Flatiron District, Manhattan, New York County, City of New York, New York, 10010, United States",East 23rd Street,Manhattan,"15, Cheever Place, Cobble Hill, Brooklyn, Kings County, City of New York, New York, 11231, United States",Cheever Place,Brooklyn,50,31,40.5,0.00,0.0,0
id1455350,2,2016-04-10 22:54:52,2016-04-10 22:56:51,1,-73.98835754394531,40.723628997802734,-73.98507690429686,40.72815704345703,N,119,"21, 1st Avenue, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States",1st Avenue,Manhattan,"East Village Pizza, 145, 1st Avenue, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States",1st Avenue,Manhattan,50,31,40.5,0.00,0.0,0
id2257915,2,2016-04-10 09:43:16,2016-04-10 09:50:16,1,-73.97987365722656,40.74333953857422,-73.96788024902342,40.75954818725585,N,420,"438, 3rd Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",3rd Avenue,Manhattan,"201, East 56th Street, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States",East 56th Street,Manhattan,50,31,40.5,0.00,0.0,0
id2335522,2,2016-04-10 12:27:52,2016-04-10 12:29:43,5,-73.9424285888672,40.75389862060547,-73.93997192382812,40.76102828979492,N,111,"21 Street-Queensbridge, 41st Avenue, Queensbridge, Queens, City of New York, New York, 11101, United States",41st Avenue,Queens,"Saint Rita's Roman Catholic Church, 11th Street, Queensbridge, Queens, City of New York, New York, 11101, United States",11th Street,Queens,50,31,40.5,0.00,0.0,0
id0953617,2,2016-04-10 17:21:38,2016-04-10 17:31:39,1,-73.97335815429686,40.76082229614258,-73.95667266845702,40.766956329345696,N,601,"540 Madison Avenue, 545, Madison Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10022, United States",Madison Avenue,Manhattan,"1319, 1st Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10021, United States",1st Avenue,Manhattan,50,31,40.5,0.00,0.0,0
id2750279,1,2016-01-17 19:40:26,2016-01-17 19:49:13,1,-73.9971160888672,40.72209930419922,-74.00689697265625,40.708320617675774,N,527,"27-29, Cleveland Place, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States",Cleveland Place,Manhattan,"100 William Street, 100, William Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10038, United States",William Street,Manhattan,42,30,36.0,0.05,0.4,0
id1965486,2,2016-01-17 16:47:44,2016-01-17 17:08:21,1,-73.97782135009766,40.75217819213867,-73.99935150146483,40.72517013549805,N,1237,"Grand Central Terminal, 89, East 42nd Street, Midtown East, Manhattan, New York County, City of New York, New York, 10017, United States",East 42nd Street,Manhattan,"109, Prince Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States",Prince Street,Manhattan,42,30,36.0,0.05,0.4,0
id3649630,2,2016-01-17 12:17:47,2016-01-17 12:24:34,5,-73.97956848144531,40.735389709472656,-73.97522735595702,40.74964141845703,N,407,"350, 1st Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10010, United States",1st Avenue,Manhattan,"630 Third Avenue, 630, 3rd Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10017, United States",3rd Avenue,Manhattan,42,30,36.0,0.05,0.4,0
